step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
5.0,0,0.0,0.0,12.618412410079095,0,0.0,0.9068162508502305,0,0.0,False,,
10.0,0,0.0,0.0,12.430792283035503,0,0.0,0.89921514688132,0,0.0,False,,
15.0,5,10.0,0.8333333333333334,4.432932179895343,5,10.0,0.008627486065954265,5,10.0,False,,
20.0,6,33.0,2.75,4.726824306393794,6,33.0,1.888702443021051e-05,6,33.0,False,,
25.0,6,63.0,3.5,8.90123174459192,6,63.0,0.5714285714285714,6,63.0,False,,
30.0,6,93.0,4.65,9.298576490659928,6,93.0,0.6245813164518715,6,93.0,False,,
35.0,6,123.0,6.833333333333333,6.517122017658174,6,123.0,0.4466300159833448,6,123.0,False,,
40.0,12,119.0,6.611111111111111,1.8171719910249928,12,119.0,0.0050358335498772375,12,119.0,False,,
45.0,12,172.0,9.555555555555555,3.7385667215367704,12,172.0,1.8232169225309178e-05,12,172.0,False,,
50.0,12,232.0,8.285714285714286,7.365946516843162,12,232.0,0.465662532340063,12,232.0,False,,
55.0,10,259.0,9.592592592592593,7.346344318534398,10,259.0,0.5127668522421635,10,259.0,False,,
60.0,11,275.0,11.458333333333334,3.9681252787517973,11,275.0,0.21429560024017044,11,275.0,False,,
65.0,15,346.0,14.416666666666666,4.6182636508637875,15,346.0,0.026445140747744036,15,346.0,False,,
70.0,14,410.0,19.523809523809526,3.2306881352218517,14,410.0,0.0,14,410.0,False,,
75.0,14,480.0,17.142857142857142,5.658640983288694,14,480.0,0.38380627713305354,14,480.0,False,,
80.0,14,550.0,19.642857142857142,5.795562814908018,14,550.0,0.37855324753269504,14,550.0,False,,
85.0,19,626.0,23.185185185185187,2.2672453238044517,19,626.0,0.10869630014264281,19,626.0,False,,
90.0,22,679.0,26.115384615384617,1.057105820279507,22,679.0,0.0001672453085676713,22,679.0,False,,
95.0,20,767.0,29.5,2.3346499998081685,20,767.0,0.0,20,767.0,False,,
100.0,20,867.0,24.083333333333332,5.462292431189595,20,867.0,0.34787448632159823,20,867.0,False,,
105.0,18,930.0,26.571428571428573,3.864790591103069,18,930.0,0.2543222378602549,18,930.0,False,,
110.0,21,992.0,30.060606060606062,2.501773998739758,21,992.0,0.09329581959855605,21,992.0,False,,
115.0,23,1106.0,34.5625,3.3185021041712277,23,1106.0,0.0014424415138453515,23,1106.0,False,,
120.0,22,1012.0,36.142857142857146,1.9738562680324299,22,1012.0,0.0,22,1012.0,False,,
125.0,12,292.0,7.891891891891892,5.52847009755674,12,884.0,0.36851342642887014,12,884.0,False,,
130.0,4,75.0,2.0833333333333335,7.028061698831692,4,454.0,0.36913719285865565,4,454.0,False,,
135.0,7,98.0,2.9696969696969697,7.1528513063984125,7,266.0,0.3100214236156351,7,266.0,False,,
140.0,11,92.0,3.1724137931034484,4.362585298125818,11,260.0,0.10785725032384899,11,260.0,False,,
145.0,17,151.0,4.71875,5.40138978966389,17,319.0,0.3087619256991175,17,319.0,False,,
150.0,18,240.0,7.0588235294117645,5.808648962614073,18,408.0,0.3675475633725655,18,408.0,False,,
155.0,16,294.0,9.1875,3.462130009204016,16,462.0,0.225663424715119,16,462.0,False,,
160.0,22,358.0,11.933333333333334,2.0065823168256296,22,526.0,0.06961961213311862,22,526.0,False,,
165.0,22,468.0,15.6,3.065702494752536,22,636.0,0.0,22,636.0,False,,
170.0,20,513.0,12.512195121951219,5.848810074515599,20,599.0,0.3520024354506478,20,599.0,False,,
175.0,10,313.0,8.942857142857143,6.413378877864701,10,567.0,0.41928697481951005,10,567.0,False,,
180.0,9,320.0,9.411764705882353,6.236022670186623,9,391.0,0.2540492727525684,9,391.0,False,,
