step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,11.597358107657413,0,0.0,0.893712762069374,0,0.0
10.0,0,0.0,0.0,11.656315740758407,0,0.0,0.9036837453546055,0,0.0
15.0,5,8.0,0.6666666666666666,4.019104920470004,5,8.0,0.2072355039517852,5,8.0
20.0,7,32.0,2.6666666666666665,3.1446292348430354,7,32.0,0.00025591986487132296,7,32.0
25.0,7,67.0,3.35,8.453104565018489,7,67.0,0.5333333333333333,7,67.0
30.0,7,102.0,4.857142857142857,8.359405052905808,7,102.0,0.5733818665568929,7,102.0
35.0,5,96.0,5.052631578947368,5.773030759142842,5,96.0,0.4671446463291661,5,96.0
40.0,10,84.0,4.421052631578948,3.72942911753031,10,84.0,0.06435616870105534,10,84.0
45.0,11,137.0,7.2105263157894735,5.354872911898046,11,137.0,1.166978300090165e-05,11,137.0
50.0,9,120.0,4.137931034482759,7.995445990070692,9,120.0,0.5209243801027167,9,120.0
55.0,7,135.0,5.625,8.81560958968788,7,135.0,0.5919614253783223,7,135.0
60.0,8,171.0,7.434782608695652,5.114785881549797,8,171.0,0.22787195031387888,8,171.0
65.0,16,167.0,7.9523809523809526,1.8850159384879892,16,167.0,0.0003592164697154758,16,167.0
70.0,9,117.0,6.157894736842105,4.015825566568416,9,168.0,0.1143059854107825,9,168.0
75.0,9,162.0,5.4,8.618893451556035,9,162.0,0.49547246879335677,9,162.0
80.0,7,125.0,4.62962962962963,8.697313905148766,7,125.0,0.5833900204866289,7,125.0
85.0,5,114.0,5.181818181818182,4.623187109520816,5,114.0,0.1406302463286845,5,114.0
90.0,15,172.0,8.19047619047619,3.691512874453078,15,172.0,0.000265651221738017,15,172.0
95.0,13,179.0,9.421052631578947,2.976748081637965,13,179.0,5.576322863370728e-07,13,179.0
100.0,7,116.0,4.296296296296297,7.69988667657331,7,156.0,0.5198456929518972,7,156.0
105.0,7,151.0,5.592592592592593,9.694347777698047,7,151.0,0.5877891376257295,7,151.0
110.0,9,121.0,4.84,3.8879362545804486,9,121.0,0.05039211798537931,9,121.0
115.0,14,158.0,8.31578947368421,2.396118611038855,14,160.0,0.027792514136726197,14,160.0
120.0,14,228.0,12.0,3.062913361600201,14,228.0,0.0,14,228.0
125.0,12,221.0,7.129032258064516,6.814898483796219,12,221.0,0.45680159510768664,12,221.0
130.0,6,116.0,4.461538461538462,6.691788061146212,6,183.0,0.4464642803808786,6,183.0
135.0,10,157.0,6.038461538461538,5.621345879424244,10,157.0,0.09038896739987556,10,157.0
140.0,14,166.0,7.545454545454546,3.8897249917539494,14,166.0,0.00023094144762935846,14,166.0
145.0,12,210.0,8.076923076923077,7.272300803210002,12,210.0,0.4,12,210.0
150.0,12,270.0,9.642857142857142,7.860072784261452,12,270.0,0.4793731005894523,12,270.0
155.0,10,240.0,9.6,3.397007904225631,10,240.0,0.21703195423564417,10,240.0
160.0,11,113.0,4.708333333333333,2.9218309174773096,11,208.0,0.10286362651635717,11,208.0
165.0,12,173.0,7.208333333333333,6.126557099537599,12,175.0,0.09463105036206866,12,175.0
170.0,12,168.0,5.25,6.942501888531883,12,170.0,0.44300608359390004,12,170.0
175.0,10,193.0,6.433333333333334,7.965192376687191,10,195.0,0.5044207361846044,10,195.0
180.0,10,243.0,9.346153846153847,5.238910058881923,10,245.0,0.25422023466368904,10,245.0
185.0,16,225.0,9.375,2.347372801722546,16,227.0,0.0033978461820671417,16,227.0
190.0,10,150.0,6.818181818181818,3.9955715280665562,10,230.0,0.0944625626198897,10,230.0
195.0,10,200.0,6.25,8.281545953939705,10,202.0,0.45286439324611644,10,202.0
200.0,8,166.0,5.724137931034483,8.621691538523873,8,168.0,0.5462210473211181,8,168.0
205.0,7,160.0,6.4,5.21324483941161,7,162.0,0.15101527023543362,7,162.0
210.0,16,227.0,10.318181818181818,3.569779978569248,16,229.0,0.0003015270097665614,16,229.0
215.0,14,211.0,10.55,2.7388664419588027,14,211.0,7.09940906088885e-07,14,211.0
220.0,6,83.0,2.9642857142857144,7.817541595095131,6,128.0,0.5183736618187108,6,128.0
225.0,6,113.0,4.035714285714286,9.968623689513322,6,113.0,0.6083194959882511,6,113.0
230.0,5,96.0,3.6923076923076925,4.456717851713954,5,96.0,0.05830100404751078,5,96.0
235.0,14,158.0,7.523809523809524,3.815299533562725,14,158.0,2.3161886255272834e-05,14,158.0
240.0,14,228.0,12.666666666666666,2.7943031980640547,14,228.0,0.0,14,228.0
245.0,12,219.0,7.821428571428571,6.666675427040131,12,219.0,0.4601324749607563,12,219.0
