step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.376850928103876,0,0.0,0.954876841008736,0,0.0
10.0,0,0.0,0.0,12.11646048088707,0,0.0,0.8733428885259807,0,0.0
15.0,4,6.0,0.5,4.748905778437998,4,6.0,0.012418429910952492,4,6.0
20.0,6,33.0,2.75,5.043686773396067,6,33.0,4.362584610211861e-05,6,33.0
25.0,6,63.0,3.7058823529411766,8.761590482347579,6,63.0,0.5714285714285714,6,63.0
30.0,6,93.0,4.65,9.343673798611112,6,93.0,0.633007740084581,6,93.0
35.0,6,123.0,6.833333333333333,5.804525705531776,6,123.0,0.4241252285845851,6,123.0
40.0,13,121.0,6.722222222222222,1.0036743831394948,13,122.0,0.006189516947770695,13,122.0
45.0,9,106.0,5.888888888888889,4.33726342168253,9,122.0,0.11983405540931638,9,122.0
50.0,9,151.0,5.206896551724138,8.632423115767041,9,151.0,0.49914801814892695,9,151.0
55.0,8,181.0,6.961538461538462,8.126508652860792,8,181.0,0.5347219041367935,8,181.0
60.0,8,221.0,10.523809523809524,4.629998641940675,8,221.0,0.29782311361003155,8,221.0
65.0,17,286.0,13.619047619047619,2.007666766413239,17,286.0,0.014583868618136157,17,286.0
70.0,18,375.0,18.75,1.1831517413416521,18,375.0,3.0413479752224657e-06,18,375.0
75.0,18,465.0,15.5,4.471289004634072,18,465.0,0.33715024342840194,18,465.0
80.0,16,469.0,15.633333333333333,4.553090754652703,16,469.0,0.36360257266876606,16,469.0
85.0,11,368.0,12.266666666666667,3.2845548077038265,11,448.0,0.1805877838340394,11,448.0
90.0,18,445.0,14.833333333333334,4.6575922331792645,18,445.0,0.06077235459908783,18,445.0
95.0,18,377.0,13.464285714285714,3.7560952102799234,18,377.0,0.0005041770956010781,18,377.0
100.0,12,234.0,6.685714285714286,7.208086147504616,12,327.0,0.4368259302033386,12,327.0
105.0,12,294.0,8.909090909090908,7.5186398299491755,12,294.0,0.4234099552725432,12,294.0
110.0,20,278.0,8.6875,2.8797558796382097,20,278.0,0.0037490715162812435,20,278.0
115.0,12,144.0,5.538461538461538,2.954306640083932,12,268.0,0.06678533605722511,12,268.0
120.0,12,204.0,8.5,4.952392771988004,12,228.0,0.11546461291508131,12,228.0
125.0,12,264.0,7.333333333333333,8.503968898040776,12,264.0,0.462056999353021,12,264.0
130.0,10,283.0,9.433333333333334,7.241983938864075,10,283.0,0.4460507369169082,10,283.0
135.0,16,343.0,13.72,2.1740042484151005,16,343.0,0.009021086090418124,16,343.0
140.0,20,443.0,18.458333333333332,2.106507261915915,20,443.0,2.1559662955417513e-06,20,443.0
145.0,18,428.0,14.758620689655173,4.39568133607145,18,428.0,0.28,18,428.0
150.0,14,402.0,12.5625,6.548589276965797,14,416.0,0.42816725347307943,14,416.0
155.0,16,475.0,14.84375,4.759064845390764,16,475.0,0.2168497597324223,16,475.0
160.0,22,443.0,14.766666666666667,2.27107125349885,22,443.0,0.0020369464614000544,22,443.0
165.0,13,185.0,7.115384615384615,3.0543370249663893,13,423.0,0.07845294398885293,13,423.0
170.0,11,225.0,6.081081081081081,8.190241443371601,11,261.0,0.478481397952136,11,261.0
175.0,11,249.0,6.916666666666667,7.563338465903237,11,285.0,0.4356722357126652,11,285.0
180.0,14,315.0,10.5,3.888202015344329,14,351.0,0.17700046616255963,14,351.0
185.0,23,415.0,15.37037037037037,1.812372138048751,23,451.0,0.00042978821042525433,23,451.0
190.0,21,418.0,16.72,1.047397356134426,21,454.0,3.6376804795067483e-07,21,454.0
195.0,11,193.0,5.361111111111111,6.520863010747348,11,419.0,0.4150201558582785,11,419.0
200.0,11,248.0,7.085714285714285,8.789952805840278,11,310.0,0.49345352729493624,11,310.0
205.0,15,310.0,9.6875,4.105148010221377,15,372.0,0.04857499097322998,15,372.0
210.0,23,419.0,16.76,0.9917088620966484,23,481.0,8.39940281837718e-05,23,481.0
215.0,23,534.0,21.36,0.992408312005353,23,596.0,0.0,23,596.0
220.0,21,615.0,17.571428571428573,4.5615776827343595,21,651.0,0.334553165753716,21,651.0
225.0,17,646.0,18.457142857142856,4.956762067085707,17,708.0,0.308154364316167,17,708.0
230.0,22,746.0,21.314285714285713,3.8196294959287993,22,782.0,0.0028914087050312238,22,782.0
235.0,23,861.0,26.09090909090909,3.3142276582576002,23,897.0,5.112141314068135e-07,23,897.0
240.0,23,976.0,34.857142857142854,2.0354552373738937,23,1012.0,0.0,23,1012.0
245.0,23,1091.0,29.486486486486488,4.700735861715101,23,1127.0,0.30672605337817305,23,1127.0
250.0,21,1053.0,30.085714285714285,2.648014669033288,21,1068.0,0.20000270796591404,21,1068.0
255.0,19,530.0,15.142857142857142,2.0672331682496092,19,1007.0,0.06836945980797168,19,1007.0
260.0,15,470.0,13.428571428571429,4.954062325681854,15,715.0,0.11920070784595124,15,715.0
265.0,16,365.0,9.125,5.94294172766655,16,610.0,0.3323697843405403,16,610.0
270.0,14,128.0,3.282051282051282,6.21090090099352,14,539.0,0.3894103593346735,14,539.0
275.0,16,207.0,5.594594594594595,4.931281767529246,16,452.0,0.19037463766747498,16,452.0
280.0,25,279.0,7.75,2.830227505388475,25,426.0,0.0009921575320681352,25,426.0
285.0,15,245.0,7.65625,3.7349531430300424,15,431.0,0.06606650057583882,15,431.0
290.0,13,295.0,7.564102564102564,7.750208145893041,13,325.0,0.445259478365456,13,325.0
295.0,13,281.0,7.594594594594595,7.197287658473678,13,311.0,0.4188787538889194,13,311.0
300.0,14,309.0,9.65625,3.9685342865261433,14,339.0,0.14448780243901577,14,339.0
305.0,23,408.0,14.068965517241379,2.575994338905731,23,438.0,0.00017465983449274029,23,438.0
310.0,21,485.0,17.962962962962962,1.9697679110045632,21,515.0,0.0,21,515.0
315.0,20,577.0,16.485714285714284,5.131812796013385,20,607.0,0.3315565386322458,20,607.0
320.0,20,677.0,19.34285714285714,5.144352567949315,20,707.0,0.3121496498995476,20,707.0
325.0,26,786.0,23.818181818181817,1.1425874492124901,26,816.0,0.057065321247726085,26,816.0
330.0,30,933.0,29.15625,0.7465935536374722,30,963.0,1.7337084670720332e-05,30,963.0
335.0,30,1083.0,33.84375,0.8370761389317795,30,1113.0,0.0,30,1113.0
340.0,28,1060.0,25.238095238095237,3.5808616249262704,28,1090.0,0.2736857750117111,28,1090.0
345.0,18,581.0,13.833333333333334,3.450258785924148,18,1032.0,0.20898810949889837,18,1032.0
350.0,19,577.0,13.738095238095237,3.9705308257626992,19,868.0,0.15595588733347668,19,868.0
355.0,22,684.0,17.1,5.196955757823275,22,763.0,0.15225818839077357,22,763.0
360.0,22,664.0,18.97142857142857,3.46190150110757,22,684.0,0.012605790606579082,22,684.0
365.0,14,225.0,5.232558139534884,6.4844759299895545,14,628.0,0.37996142730242244,14,628.0
370.0,10,205.0,5.394736842105263,6.596417187518044,10,359.0,0.32494360688059654,10,359.0
375.0,16,169.0,4.828571428571428,3.957811572992051,16,323.0,0.10745816868823767,16,323.0
380.0,20,200.0,6.666666666666667,2.770010051494175,20,356.0,0.026687626590540633,20,356.0
385.0,22,310.0,8.61111111111111,4.857548859612883,22,464.0,0.26668703382116876,22,464.0
390.0,20,388.0,10.210526315789474,5.139122350222361,20,465.0,0.3414308218230114,20,465.0
395.0,12,353.0,10.085714285714285,3.955615019940171,12,441.0,0.2143364612160437,12,441.0
400.0,20,434.0,12.764705882352942,4.7572235938657075,20,439.0,0.09383382310774212,20,439.0
405.0,20,534.0,16.6875,5.049978024504937,20,539.0,0.0,20,539.0
410.0,18,514.0,13.526315789473685,6.268263610965389,18,519.0,0.3720568130171544,18,519.0
415.0,14,486.0,14.727272727272727,6.477292714814357,14,519.0,0.4288639881052766,14,519.0
420.0,16,561.0,17.53125,4.130032266304625,16,566.0,0.11300223869142732,16,566.0
425.0,23,668.0,22.266666666666666,2.388987994964547,23,673.0,0.0005691571556939314,23,673.0
430.0,22,646.0,23.925925925925927,1.3972888795107943,22,648.0,0.0,22,648.0
435.0,12,215.0,5.972222222222222,5.969584842827944,12,590.0,0.38211325183730105,12,590.0
440.0,8,192.0,5.333333333333333,8.126383436397832,8,329.0,0.4586972446592004,8,329.0
445.0,12,148.0,4.352941176470588,4.251810868081585,12,285.0,0.11719525202286953,12,285.0
450.0,20,181.0,6.464285714285714,2.4705542099508477,20,321.0,0.028937016831123485,20,321.0
455.0,20,281.0,10.807692307692308,2.809976300352899,20,418.0,3.3847397305886145e-06,20,418.0
460.0,18,351.0,9.486486486486486,5.964111489031468,18,488.0,0.3626994441551171,18,488.0
465.0,18,441.0,13.78125,4.296099807950387,18,578.0,0.27845856778717376,18,578.0
470.0,27,551.0,17.21875,1.735518612948076,27,688.0,0.011889618953471046,27,688.0
475.0,26,680.0,22.666666666666668,0.9257311178996729,26,817.0,0.0,26,817.0
480.0,26,810.0,27.93103448275862,1.1563743738630068,26,947.0,3.401381693701489e-07,26,947.0
485.0,26,940.0,23.5,4.452451526235702,26,1077.0,0.29703358594111695,26,1077.0
490.0,28,1072.0,27.487179487179485,1.8735832071159548,28,1209.0,0.11662044945300769,28,1209.0
495.0,35,1131.0,29.763157894736842,0.12288769563210111,35,1196.0,0.00042387708667432854,35,1196.0
500.0,26,816.0,21.473684210526315,1.7197059304578253,26,1209.0,0.05658390018375784,26,1209.0
505.0,20,813.0,17.67391304347826,6.214842401611905,20,987.0,0.301208172841152,20,987.0
510.0,20,883.0,18.78723404255319,5.602913231898639,20,1057.0,0.318790271403384,20,1057.0
515.0,26,999.0,24.365853658536587,2.090630008639802,26,1173.0,0.048841351788476796,26,1173.0
520.0,36,1166.0,29.15,1.4220521109771034,36,1340.0,0.0001469717615523765,36,1340.0
525.0,34,1285.0,34.729729729729726,0.45718597175233927,34,1459.0,2.50507631342668e-07,34,1459.0
530.0,32,1427.0,29.729166666666668,3.8673856554483446,32,1601.0,0.24572984418274701,32,1601.0
535.0,32,1587.0,33.0625,3.495991513716915,32,1761.0,0.1948406578090725,32,1761.0
540.0,38,1761.0,38.28260869565217,1.4303485378143541,38,1935.0,0.05473662292278382,38,1935.0
545.0,42,1963.0,44.61363636363637,0.5873569125595716,42,2137.0,3.918998076150395e-05,42,2137.0
550.0,42,2173.0,49.38636363636363,0.5903338004680122,42,2347.0,0.0,42,2347.0
555.0,40,2360.0,43.7037037037037,2.70479171743151,40,2534.0,0.2021272711009304,40,2534.0
560.0,42,2562.0,47.44444444444444,1.941868871286488,42,2736.0,0.11737121469476394,42,2736.0
565.0,47,2788.0,51.629629629629626,1.111264907995495,47,2962.0,0.009137035198664769,47,2962.0
570.0,48,2912.0,54.943396226415096,0.830712154669992,48,3021.0,1.5220621651090922e-06,48,3021.0
575.0,38,2551.0,51.02,1.3904003670138474,38,2910.0,0.022407565383519786,38,2910.0
580.0,30,2512.0,40.516129032258064,5.007080359472607,30,2824.0,0.24678113379405964,30,2824.0
585.0,34,2671.0,46.05172413793103,4.513559003874551,34,2764.0,0.19121557872112951,34,2764.0
590.0,36,2843.0,52.648148148148145,3.664142054934731,36,2843.0,0.07912304090990455,36,2843.0
595.0,38,2977.0,60.755102040816325,2.150460211650944,38,2977.0,0.0002085512954969161,38,2977.0
600.0,37,3150.0,70.0,1.9055454290296234,37,3150.0,0.0,37,3150.0
605.0,37,3335.0,62.924528301886795,2.993832814455188,37,3335.0,0.15789844554056642,37,3335.0
610.0,39,3159.0,61.94117647058823,2.2017442068160324,39,3159.0,0.1288263090768848,39,3159.0
615.0,34,1713.0,34.95918367346939,1.2538511471740852,34,2962.0,0.034807894380422096,34,2962.0
620.0,29,964.0,19.6734693877551,3.300171875234088,29,2309.0,0.08180235624578248,29,2309.0
625.0,20,351.0,6.267857142857143,4.768459795895628,20,2218.0,0.22690920962188832,20,2218.0
630.0,13,169.0,3.3137254901960786,5.059608832605568,13,2235.0,0.28404642224966764,13,2235.0
635.0,22,260.0,5.098039215686274,4.294576363376135,22,2302.0,0.18068776337248976,22,2302.0
640.0,31,397.0,8.10204081632653,2.913234097716079,31,2439.0,0.020564916323297443,31,2439.0
645.0,37,535.0,12.44186046511628,1.1346459158356725,37,2287.0,0.000631967826449283,37,2287.0
650.0,28,513.0,9.865384615384615,4.010672447827192,28,2160.0,0.25275207989429854,28,2160.0
655.0,22,482.0,9.26923076923077,5.195509699936163,22,1507.0,0.24822433623059434,22,1507.0
660.0,17,441.0,8.82,4.113974039816415,17,1601.0,0.16380777711163827,17,1601.0
665.0,21,506.0,11.767441860465116,2.772053929624721,21,1697.0,0.10117402998760514,21,1697.0
670.0,28,635.0,15.119047619047619,1.8193144553181666,28,1826.0,0.04017505289741567,28,1826.0
675.0,34,630.0,12.6,2.849647979302101,34,1821.0,0.2115849412092825,34,1821.0
680.0,32,549.0,10.98,2.9963141487290064,32,1855.0,0.1738488485996678,32,1855.0
685.0,35,717.0,14.34,3.3020429323198375,35,1908.0,0.07570322132458918,35,1908.0
690.0,37,753.0,15.6875,2.2583356858355925,37,1944.0,0.00030274539917969504,37,1944.0
